pointer, money, price, salary, sales, production, storage, workers, labor_capacity, plan, profit, time
05E77E50, 100, 2, 10, 200, 100, 0, 20, 20, 50, 0, 0
05E78520, 100, 2, 10, 200, 100, 0, 20, 20, 50, 0, 0
05E785D8, 100, 2, 10, 200, 100, 0, 20, 20, 50, 0, 0
05E78690, 100, 2, 10, 200, 100, 0, 20, 20, 50, 0, 0
05E78748, 100, 2, 10, 200, 100, 0, 20, 20, 50, 0, 0
05E77E50, 100, 2.04615, 9.9, 327.385, 160, 0, 32, 32, 163.692, 10.5848, 1
05E78520, 100, 2.04615, 9.9, 327.385, 160, 0, 32, 32, 163.692, 10.5848, 1
05E785D8, 100, 2.04615, 9.9, 327.385, 160, 0, 32, 32, 163.692, 10.5848, 1
05E78690, 100, 2.04615, 9.9, 327.385, 160, 0, 32, 32, 163.692, 10.5848, 1
05E78748, 100, 2.04615, 9.9, 327.385, 160, 0, 32, 32, 163.692, 10.5848, 1
05E77E50, 110.585, 2.32808, 9.9, 347.49, 195, 45.7394, 39, 44, 221.867, -38.6099, 2
05E78520, 110.585, 2.52208, 9.9, 267.735, 180, 73.8439, 36, 44, 221.867, -88.6651, 2
05E785D8, 110.585, 2.16179, 9.9, 311.85, 210, 65.7442, 42, 44, 221.867, -103.95, 2
05E78690, 110.585, 2.11151, 9.9, 320.76, 215, 63.0898, 43, 44, 221.867, -104.94, 2
05E78748, 110.585, 2.26988, 9.9, 453.975, 200, 0, 40, 44, 221.867, 57.9753, 2
05E77E50, 71.975, 1.7413, 10.405, 341.113, 220, 69.844, 44, 44, 153.022, -116.707, 3
05E78520, 21.9197, 1.64356, 9.9, 384.337, 160, 0, 32, 38, 78.545, 67.5375, 3
05E785D8, 6.63483, 1.61581, 10.2, 376.384, 215, 47.8062, 43, 44, 144.096, -62.2154, 3
05E78690, 5.64496, 1.6516, 10.509, 394.76, 220, 44.0729, 44, 44, 158.34, -67.6382, 3
05E78748, 168.56, 3.00007, 9.9, 194.021, 185, 120.328, 37, 48, 244.512, -172.279, 3
05E77E50, -44.7323, 1.69636, 11.0451, 304.554, 220, 110.311, 44, 44, 212.52, -181.431, 4
05E78520, 89.4572, 2.58264, 8.42943, 313.068, 200, 78.78, 40, 62, 314.273, -24.1095, 4
05E785D8, -55.5806, 1.63513, 9.79806, 480.031, 285, 39.2328, 57, 57, 288.979, -78.4586, 4
05E78690, -61.9932, 1.67405, 9.994, 423.467, 290, 81.1139, 58, 58, 294.542, -156.186, 4
05E78748, -3.71863, 2.63988, 9.9, 192.511, 5, 52.4034, 1, 1, -10.0469, 182.611, 4
05E77E50, -226.164, 1.48791, 11.0451, 344.278, 220, 98.9278, 44, 44, 179.411, -141.707, 5
05E78520, 65.3477, 2.93783, 8.42943, 285.802, 60, 41.4965, 12, 47, 79.0865, 184.649, 5
05E785D8, -134.039, 1.6426, 9.22468, 370.501, 385, 198.675, 77, 77, 386.938, -339.799, 5
05E78690, -218.179, 1.6952, 9.994, 399.922, 295, 140.199, 59, 59, 299.751, -189.725, 5
05E78748, 178.893, 2.74387, 9.9, 248.054, 40, 2.00034, 8, 8, 43.6401, 168.854, 5
05E77E50, -367.871, 1.48853, 10.3988, 487.715, 295, 66.2797, 59, 59, 295.163, -125.812, 6
05E78520, 249.997, 3.797, 8.42943, 189.734, 45, 36.527, 9, 23, 70.2958, 113.869, 6
