pointer, money, price, salary, sales, production, storage, workers, labor_capacity, plan, profit, time
0597C998, 999.999, 12, 40, 120, 10, 1.50502e-006, 2, 2, 10, 40, 1
0597C998, 1040, 9.72, 19.2, 97.2001, 10, 0, 2, 2, 10, 58.8001, 2
0597C998, 1098.8, 11.7612, 10.368, 176.418, 15, 0, 3, 3, 11, 145.314, 3
0597C998, 1244.11, 14.2311, 14.1134, 200, 20, 5.94627, 4, 4, 16.5, 143.546, 4
0597C998, 1387.66, 11.5272, 21.3333, 200, 15, 3.59589, 3, 3, 14.0537, 136, 5
0597C998, 1523.66, 13.9479, 16, 200, 20, 9.25682, 4, 4, 19.0854, 136, 6
0597C998, 1659.66, 11.2978, 21.3333, 200, 15, 6.55424, 3, 3, 14.3391, 136, 7
0597C998, 1795.66, 13.6703, 16, 200, 20, 11.9241, 4, 4, 19.4729, 136, 8
0597C998, 1931.66, 11.0729, 21.3333, 200, 15, 8.86193, 3, 3, 14.6303, 136, 9
0597C998, 2067.66, 13.3983, 16, 200, 20, 13.9346, 4, 4, 19.8683, 136, 10
0597C998, 2203.66, 10.8526, 21.3333, 200, 15, 10.5058, 3, 3, 14.9273, 136, 11
0597C998, 2339.66, 13.1316, 12.8, 200, 25, 20.2753, 5, 5, 20.2717, 136, 12
0597C998, 2475.66, 10.6366, 16, 200, 20, 21.4724, 4, 4, 15.2304, 136, 13
0597C998, 2611.66, 12.8703, 12.8, 200, 25, 30.9329, 5, 5, 20.6833, 136, 14
0597C998, 2747.66, 10.425, 16, 200, 20, 31.748, 4, 4, 15.5396, 136, 15
0597C998, 2883.66, 12.6142, 12.8, 200, 25, 40.8926, 5, 5, 21.1032, 136, 16
0597C998, 3019.66, 10.2175, 16, 200, 20, 41.3186, 4, 4, 15.8552, 136, 17
0597C998, 3155.66, 12.3632, 12.8, 200, 25, 50.1412, 5, 5, 21.5317, 136, 18
0597C998, 3291.66, 10.0142, 16, 200, 20, 50.1695, 4, 4, 16.1771, 136, 19
0597C998, 3427.66, 12.1171, 12.8, 200, 25, 58.6641, 5, 5, 21.9689, 136, 20
0597C998, 3563.66, 9.81488, 16, 200, 20, 58.2873, 4, 4, 16.5056, 136, 21
0597C998, 3699.66, 11.876, 12.8, 200, 25, 66.4462, 5, 5, 22.415, 136, 22
0597C998, 3835.66, 9.61957, 16, 200, 20, 65.6546, 4, 4, 16.8407, 136, 23
0597C998, 3971.66, 11.6397, 12.8, 200, 25, 73.4716, 5, 5, 22.87, 136, 24
0597C998, 4107.66, 9.42814, 16, 200, 20, 72.2589, 4, 4, 17.1826, 136, 25
0597C998, 4243.66, 11.408, 12.8, 200, 25, 79.728, 5, 5, 23.3344, 136, 26
0597C998, 4379.66, 9.24052, 16, 200, 20, 78.085, 4, 4, 17.5315, 136, 27
0597C998, 4515.66, 11.181, 12.8, 200, 25, 85.1971, 5, 5, 23.8082, 136, 28
0597C998, 4651.66, 9.05663, 16, 200, 20, 83.1146, 4, 4, 17.8875, 136, 29
0597C998, 4787.66, 10.9585, 12.8, 200, 25, 89.8635, 5, 5, 24.2916, 136, 30
0597C998, 4923.66, 8.87641, 16, 200, 20, 87.3324, 4, 4, 18.2506, 136, 31
0597C998, 5059.66, 10.7405, 12.8, 200, 25, 93.7106, 5, 5, 24.7848, 136, 32
0597C998, 5195.66, 8.69977, 16, 200, 20, 90.7217, 4, 4, 18.6212, 136, 33
0597C998, 5331.66, 10.5267, 10.6667, 200, 30, 101.723, 6, 6, 25.2881, 136, 34
0597C998, 5467.66, 8.52664, 16, 200, 20, 98.2672, 4, 4, 18.9993, 136, 35
0597C998, 5603.66, 10.3172, 10.6667, 200, 30, 108.882, 6, 6, 25.8014, 136, 36
0597C998, 5739.66, 8.35696, 16, 200, 20, 104.951, 4, 4, 19.385, 136, 37
0597C998, 5875.66, 10.1119, 10.6667, 200, 30, 115.172, 6, 6, 26.3254, 136, 38
0597C998, 6011.66, 8.19066, 16, 200, 20, 110.754, 4, 4, 19.7786, 136, 39
0597C998, 6147.66, 9.9107, 10.6667, 200, 30, 120.573, 6, 6, 26.8598, 136, 40
0597C998, 6283.66, 8.02766, 12.8, 200, 25, 120.659, 5, 5, 20.1802, 136, 41
0597C998, 6419.66, 9.71347, 10.6667, 200, 30, 130.068, 6, 6, 27.4052, 136, 42
0597C998, 6555.66, 7.86791, 12.8, 200, 25, 129.647, 5, 5, 20.5899, 136, 43
0597C998, 6691.66, 9.52017, 10.6667, 200, 30, 138.639, 6, 6, 27.9616, 136, 44
0597C998, 6827.66, 7.71134, 12.8, 200, 25, 137.702, 5, 5, 21.008, 136, 45
0597C998, 6963.66, 9.33072, 10.6667, 200, 30, 146.267, 6, 6, 28.5294, 136, 46
0597C998, 7099.66, 7.55788, 12.8, 200, 25, 144.805, 5, 5, 21.4345, 136, 47
0597C998, 7235.66, 9.14504, 10.6667, 200, 30, 152.936, 6, 6, 29.1087, 136, 48
0597C998, 7371.66, 7.40748, 12.8, 200, 25, 150.937, 5, 5, 21.8698, 136, 49
